series,date,type,value
growth_qoq,2023-01-01,e2,-25.385
growth_qoq,2023-01-01,e3,4.853
growth_qoq,2023-01-01,e5,-15.829
growth_qoq,2023-01-01,e6,-12.946
growth_qoq,2023-04-01,e0,-0.823
growth_qoq,2023-04-01,e1,-2.305
growth_qoq,2023-04-01,e2,3.137
growth_qoq,2023-04-01,e3,3.504
growth_qoq,2023-04-01,e5,-0.609
growth_qoq,2023-04-01,e6,3.545
growth_qoq,2023-07-01,e0,5.34
growth_qoq,2023-07-01,e1,9.857
growth_qoq,2023-07-01,e2,7.082
growth_qoq,2023-07-01,e3,-3.657
growth_qoq,2023-07-01,e5,3.138
growth_qoq,2023-07-01,e6,1.348
growth_qoq,2023-10-01,e0,2.928
growth_qoq,2023-10-01,e1,-2.432
growth_qoq,2023-10-01,e2,30.499
growth_qoq,2023-10-01,e3,3.234
growth_qoq,2023-10-01,e5,6.096
growth_qoq,2023-10-01,e6,6.464
growth_qoq,2024-01-01,e0,-2.466
growth_qoq,2024-01-01,e1,1.01
growth_qoq,2024-01-01,e2,-24.3
growth_qoq,2024-01-01,e3,7.354
