series,date,sector,value
growth_qoq,2017-07-01,p2,-5.152
growth_qoq,2017-07-01,p3,1.433
growth_qoq,2017-07-01,p4,7.094
growth_qoq,2017-07-01,p5,4.553
growth_qoq,2017-07-01,p6,1.475
growth_qoq,2017-10-01,p0,3.916
growth_qoq,2017-10-01,p1,-4.512
growth_qoq,2017-10-01,p2,12.257
growth_qoq,2017-10-01,p3,2.526
growth_qoq,2017-10-01,p4,-2.945
growth_qoq,2017-10-01,p5,5.139
growth_qoq,2017-10-01,p6,9.351
growth_qoq,2018-01-01,p0,-4.028
growth_qoq,2018-01-01,p1,-14.056
growth_qoq,2018-01-01,p2,6.169
growth_qoq,2018-01-01,p3,-5.185
growth_qoq,2018-01-01,p4,5.884
growth_qoq,2018-01-01,p5,-4.603
growth_qoq,2018-01-01,p6,0.52
growth_qoq,2018-04-01,p0,2.084
growth_qoq,2018-04-01,p1,-1.342
growth_qoq,2018-04-01,p2,0.921
growth_qoq,2018-04-01,p3,5.116
growth_qoq,2018-04-01,p4,-3.823
growth_qoq,2018-04-01,p5,2.511
growth_qoq,2018-04-01,p6,-11.822
growth_qoq,2018-07-01,p0,3.951
growth_qoq,2018-07-01,p1,13.873
growth_qoq,2018-07-01,p2,-3.095
growth_qoq,2018-07-01,p3,2.116
growth_qoq,2018-07-01,p4,6.979
growth_qoq,2018-07-01,p5,5.113
growth_qoq,2018-07-01,p6,-29.444
growth_qoq,2018-10-01,p0,3.066
growth_qoq,2018-10-01,p1,-6.731
growth_qoq,2018-10-01,p2,6.626
growth_qoq,2018-10-01,p3,1.827
growth_qoq,2018-10-01,p4,-5.026
growth_qoq,2018-10-01,p5,4.592
growth_qoq,2018-10-01,p6,35.079
growth_qoq,2019-01-01,p0,-4.401
growth_qoq,2019-01-01,p1,-6.126
growth_qoq,2019-01-01,p2,-1.264
growth_qoq,2019-01-01,p3,-5.166
growth_qoq,2019-01-01,p4,3.965
growth_qoq,2019-01-01,p5,-5.059
growth_qoq,2019-01-01,p6,-5.244
growth_qoq,2019-04-01,p0,2.508
growth_qoq,2019-04-01,p1,-1.477
growth_qoq,2019-04-01,p2,0.984
growth_qoq,2019-04-01,p3,5.867
growth_qoq,2019-04-01,p4,-3.117
growth_qoq,2019-04-01,p5,2.449
growth_qoq,2019-04-01,p6,5.101
growth_qoq,2019-07-01,p0,2.873
growth_qoq,2019-07-01,p1,17.938
growth_qoq,2019-07-01,p2,-15.828
growth_qoq,2019-07-01,p3,1.211
growth_qoq,2019-07-01,p4,4.449
growth_qoq,2019-07-01,p5,4.75
growth_qoq,2019-07-01,p6,-0.733
growth_qoq,2019-10-01,p0,3.68
growth_qoq,2019-10-01,p1,-4.442
growth_qoq,2019-10-01,p2,11.222
growth_qoq,2019-10-01,p3,2.456
growth_qoq,2019-10-01,p4,-2.981
growth_qoq,2019-10-01,p5,4.931
growth_qoq,2019-10-01,p6,-3.298
growth_qoq,2020-01-01,p0,-7.339
growth_qoq,2020-01-01,p1,-11.348
growth_qoq,2020-01-01,p2,-4.713
growth_qoq,2020-01-01,p3,-5.756
growth_qoq,2020-01-01,p4,-4.441
growth_qoq,2020-01-01,p5,-7.865
growth_qoq,2020-01-01,p6,-15.526
growth_qoq,2020-04-01,p0,-17.463
growth_qoq,2020-04-01,p1,4.726
growth_qoq,2020-04-01,p2,-31.748
growth_qoq,2020-04-01,p3,-16.721
growth_qoq,2020-04-01,p4,-42.363
growth_qoq,2020-04-01,p5,-16.607
growth_qoq,2020-04-01,p6,-0.367
growth_qoq,2020-07-01,p0,21.65
growth_qoq,2020-07-01,p1,22.226
growth_qoq,2020-07-01,p2,0.208
growth_qoq,2020-07-01,p3,27.162
growth_qoq,2020-07-01,p4,64.343
growth_qoq,2020-07-01,p5,19.904
growth_qoq,2020-07-01,p6,12.751
growth_qoq,2020-10-01,p0,2.877
growth_qoq,2020-10-01,p1,-2.628
growth_qoq,2020-10-01,p2,7.124
growth_qoq,2020-10-01,p3,2.686
growth_qoq,2020-10-01,p4,-4.662
growth_qoq,2020-10-01,p5,3.65
growth_qoq,2020-10-01,p6,18.246
growth_qoq,2021-01-01,p0,-2.132
growth_qoq,2021-01-01,p1,-4.752
growth_qoq,2021-01-01,p2,31.171
growth_qoq,2021-01-01,p3,-1.05
growth_qoq,2021-01-01,p4,-0.75
growth_qoq,2021-01-01,p5,-5.53
growth_qoq,2021-01-01,p6,-11.583
growth_qoq,2021-04-01,p0,0.851
growth_qoq,2021-04-01,p1,15.556
growth_qoq,2021-04-01,p2,8.074
growth_qoq,2021-04-01,p3,1.666
growth_qoq,2021-04-01,p4,-8.222
growth_qoq,2021-04-01,p5,-2.196
growth_qoq,2021-04-01,p6,10.433
growth_qoq,2021-07-01,p0,1.084
growth_qoq,2021-07-01,p1,16.34
growth_qoq,2021-07-01,p2,-11.129
