series,date,type,value
abs,2021-01-01,e1.1.11,18290.0
abs,2021-01-01,e1.1.12,42683.0
abs,2021-01-01,e2,44354.0
abs,2021-01-01,e3,78684.0
abs,2021-01-01,e3.1,78684.0
abs,2021-01-01,e3.1.1,44173.0
abs,2021-01-01,e3.1.2,28418.0
abs,2021-01-01,e3.1.3,6093.0
abs,2021-01-01,e3.2,78684.0
abs,2021-01-01,e3.2.1,15057.0
abs,2021-01-01,e3.2.2,63627.0
abs,2021-01-01,e4,-3493.0
abs,2021-01-01,e5,246246.0
abs,2021-01-01,e5.1,225434.0
abs,2021-01-01,e5.2,20812.0
abs,2021-01-01,e6,224025.0
abs,2021-01-01,e6.1,188433.0
abs,2021-01-01,e6.2,35591.0
abs,2021-04-01,e0,374428.0
abs,2021-04-01,e1,205043.0
abs,2021-04-01,e1.1.01,56730.0
abs,2021-04-01,e1.1.03,5659.0
